barcode;nama;harga
123447;Geboyku Sosis Merah (1kg);35500
123448;Geboyku Sosis Putih (1kg);34000
8997010000000;Gogo Fries Shoestring (1kg);32000
1234589;Golden Farm Mix Vegetable (1000gr);57500
123449;Gourmet Bbq (250gr);10000
8993200000000;Gourmet Cheesesauce (500gr);22500
8993200000000;Gourmet Extra Pedas (1kg);15500
8993200000000;Gourmet Mayonaise (1kg);29000
8993200000000;Gourmet Sambal (1kg);13500
8993200000000;Gourmet Sambal (500gr);7500
8993200000000;Gourmet Sambal Extra Pedas (500gr);9000
8993200000000;Gourmet Tomat (1kg);13000
8997210000000;Granco Minyak Goreng (1,8lt);38000
8995180000000;Gulaku (1kg);19000
123450;Hemato Nugget (250gr);11000
8998080000000;Hemato Nugget (500gr);18000
123452;Hemato Nugget Ayam Stiki (400gr);18500
123451;Hemato Nugget Ayam(1kg);36000
8998080000000;Hemato Nugget Hati (500gr);19000
123453;Hemato Nugget Mix(500gr);18000
123454;Hemato Sosis Ayam (40pcs);36000
8998080000000;Hemato Sosis Sapi (500gr);18000
123456;Hemato Sosis Sapi 1kg (40pcs);36500
123458;Hemato Sosis Sp (375gr);15000
123457;Hemato Sosis Sp 1Kg (30pcs);35500
899702000000;IDL Baso Bintang Besar (250gr);12000
8997020000000;IDL Baso Bintang Kecil (250gr);12000
8997020000000;IDL Baso Dumpling Ayam (500gr);28500
123459;IDL Baso Dumpling Keju (500gr);28500
8997020000000;IDL Otak-Otak (500gr);26500
8997020000000;IDL Scalop Premium (500gr);23000
8997020000000;IDL Soki Stick (500gr);17500
123460;ILM Soki Kotak;17500
123461;ILM Tempura (500gr);13000
89686010015;Indofood Indomie Ayam Bawang (69gr);3500
89686010947;Indofood Indomie Goreng Special (85gr);3500
89686420678;Indofood Kecap Manis (520ml);14000
89686386110;Indofood Racik Bumbu Sayur Asem (33gr);2000
102739;Indomie Nyemek Jogja Rendang (84gr);3500
102727;Indomie Rasa Soto (7tgr);3500
102728;Indomie Seblak Jeletot (75gr);3500
